make,model,year,esc_consensus,T_assign,v2_action
CADILLAC,DEVILLE,2005,Optional,,carried
FORD,ESCAPE,2006,No,0.0,carried
NISSAN,MURANO,2006,Optional,,carried
HONDA,PILOT,2003,No,0.0,carried
FORD,FOCUS,2002,Optional,,carried
TOYOTA,SEQUOIA,2001,not_found,,carried
DODGE,CHARGER,2010,Optional,,carried
NISSAN,370Z,2009,Standard,1.0,carried
LEXUS,RX,2001,not_found,,rescue_failed
ACURA,TL,2001,No,0.0,rescued
CHRYSLER,PACIFICA,2004,No,0.0,carried
PONTIAC,MONTANA/ SV6,2004,not_found,,carried
CHEVROLET,TRAILBLAZER,2004,No,0.0,carried
CHRYSLER,VOYAGER,2000,not_found,,carried
FORD,TAURUS,2004,No,0.0,carried
VOLKSWAGEN,PASSAT,2000,No,0.0,carried
KIA,SPORTAGE,2009,Standard,1.0,carried
KIA,RONDO,2008,Standard,1.0,carried
BUICK,LACROSSE,2007,Optional,,carried
BUICK,TERRAZA,2006,Optional,,carried
TOYOTA,SCION TC,2006,No,0.0,carried
NISSAN,VERSA,2009,No,0.0,carried
PLYMOUTH,NEON,2001,No,0.0,carried
MERCURY,GRAND MARQUIS,2004,No,0.0,carried
MITSUBISHI,OUTLANDER,2010,Standard,1.0,carried
CHRYSLER,PT CRUISER,2007,No,0.0,carried
DODGE,CARAVAN/GRAND CARAVAN,2003,not_found,,carried
CHEVROLET,ASTRO VAN,2000,No,0.0,carried
HYUNDAI,ELANTRA,2000,No,0.0,carried
GMC,ACADIA,2010,Standard,1.0,carried
KIA,SORENTO,2008,Standard,1.0,carried
MINI,COOPER,2006,Optional,,carried
FORD,TAURUS,2008,Optional,,carried
CHRYSLER,PACIFICA,2005,No,0.0,carried
MITSUBISHI,GALANT,2000,No,0.0,carried
ACURA,MDX,2008,Standard,1.0,carried
SATURN,VUE,2004,No,0.0,carried
PONTIAC,G6,2009,Optional,,rescued
FORD,RANGER,2003,No,0.0,carried
DODGE,GRAND CARAVAN,2010,Standard,1.0,carried
LEXUS,IS,2008,Standard,1.0,rescued
MITSUBISHI,GALANT,2002,No,0.0,carried
CHRYSLER,SEBRING,2010,Optional,,carried
FORD,CROWN VICTORIA,2006,No,0.0,carried
BMW,X3,2007,Standard,1.0,rescued
CHRYSLER,300,2006,Standard,1.0,carried
JEEP,WRANGLER,2003,No,0.0,carried
NISSAN,VERSA,2010,Optional,,carried
GMC,ENVOY,2007,Standard,1.0,carried
ACURA,TSX,2007,Standard,1.0,carried
CHRYSLER,SEBRING,2001,No,0.0,carried
TOYOTA,SEQUOIA,2005,Standard,1.0,carried
MERCURY,MOUNTAINEER,2002,Optional,,carried
NISSAN,VERSA,2007,No,0.0,carried
VOLKSWAGEN,BEETLE,2010,not_found,,carried
HYUNDAI,ELANTRA,2007,No,0.0,carried
CHEVROLET,CAVALIER,2004,No,0.0,carried
TOYOTA,LAND CRUISER,2009,not_found,,carried
PONTIAC,VIBE,2009,Standard,1.0,carried
CHEVROLET,COBALT,2008,Optional,,carried
OLDSMOBILE,ALERO,2001,No,0.0,carried
SUBARU,IMPREZA,2009,Standard,1.0,carried
SUBARU,IMPREZA,2002,No,0.0,carried
DODGE,DURANGO,2000,No,0.0,carried
BMW,323I,2000,not_found,,carried
FORD,FOCUS,2007,No,0.0,carried
DODGE,CHARGER,2009,Optional,,carried
DODGE,NEON,2004,No,0.0,carried
SUZUKI,SX4,2009,Optional,,carried
VOLVO,S40,2001,not_found,,carried
BUICK,CENTURY,2002,No,0.0,carried
VOLKSWAGEN,JETTA,2005,Optional,,carried
FORD,TAURUS,2010,Standard,1.0,carried
DODGE,NEON,2000,No,0.0,carried
FORD,EXPLORER,2010,Standard,1.0,carried
SATURN,SL1,2002,not_found,,carried
CHRYSLER,TOWN AND COUNTRY,2007,not_found,,carried
KIA,SEDONA,2005,No,0.0,carried
MAZDA,PROTEGE,2002,No,0.0,carried
FORD,WINDSTAR,2000,No,0.0,carried
FORD,CROWN VICTORIA,2009,No,0.0,carried
KIA,SORENTO,2006,No,0.0,carried
MITSUBISHI,MONTERO SPORT,2002,No,0.0,carried
ACURA,TL,2002,Optional,,rescued
CADILLAC,DEVILLE,2001,Optional,,carried
NISSAN,350Z,2005,Optional,,carried
MERCEDES-BENZ,E-CLASS,2006,Standard,1.0,carried
CHRYSLER,PACIFICA,2007,Standard,1.0,carried
BMW,325CI,2001,not_found,,carried
CHRYSLER,PT CRUISER,2008,No,0.0,carried
PONTIAC,GRAND PRIX,2007,Optional,,carried
HONDA,CR-V,2000,No,0.0,carried
DODGE,DURANGO,2003,No,0.0,carried
DODGE,CARAVAN/GRAND CARAVAN,2008,not_found,,carried
FORD,FREESTYLE,2005,No,0.0,carried
HYUNDAI,SONATA,2006,Standard,1.0,carried
JEEP,COMMANDER,2010,Standard,1.0,carried
FORD,ZX2,2001,not_found,,carried
ISUZU,I-350,2006,No,0.0,carried
FORD,F-150,2003,No,0.0,carried
OLDSMOBILE,ALERO,2000,No,0.0,carried
CHRYSLER,CONCORDE,2002,No,0.0,carried
NISSAN,ROGUE,2010,Standard,1.0,carried
MERCURY,SABLE,2002,No,0.0,carried
PONTIAC,G6,2010,Standard,1.0,rescued
SAAB,9-3,2005,Standard,1.0,carried
HYUNDAI,SANTA FE,2007,Standard,1.0,carried
TOYOTA,SCION TC,2010,No,0.0,carried
PONTIAC,VIBE,2006,Optional,,carried
BUICK,CENTURY,2001,No,0.0,carried
KIA,SORENTO,2007,Standard,1.0,carried
MITSUBISHI,LANCER SPORTBACK,2004,No,0.0,carried
KIA,SPORTAGE,2008,Standard,1.0,carried
NISSAN,ALTIMA,2009,Optional,,carried
TOYOTA,HIGHLANDER,2007,Standard,1.0,carried
FORD,EXPEDITION,2007,Standard,1.0,carried
PONTIAC,GRAND PRIX,2000,not_found,,carried
MAZDA,TRIBUTE,2006,No,0.0,carried
TOYOTA,HIGHLANDER,2001,not_found,,carried
SUZUKI,GRAND VITARA XL-7,2002,No,0.0,carried
MERCEDES-BENZ,M-CLASS,2000,not_found,,carried
MAZDA,MAZDA3,2010,Optional,,carried
FORD,ESCAPE,2005,No,0.0,carried
NISSAN,MAXIMA,2009,Standard,1.0,carried
MITSUBISHI,LANCER,2010,Standard,1.0,carried
TOYOTA,SCION XB,2005,Standard,1.0,carried
FORD,MUSTANG,2001,No,0.0,carried
DODGE,GRAND CARAVAN,2002,No,0.0,carried
DODGE,NITRO,2007,Standard,1.0,carried
HONDA,CR-V,2008,Standard,1.0,carried
AUDI,A6,2008,Standard,1.0,rescued
MAZDA,TRIBUTE,2002,No,0.0,carried
CADILLAC,STS,2005,Standard,1.0,carried
FORD,ZX2,2002,No,0.0,carried
ACURA,RL,2005,Standard,1.0,rescued
JAGUAR,XF,2009,Standard,1.0,rescued
FORD,ESCAPE,2009,Standard,1.0,carried
GMC,YUKON,2009,Standard,1.0,carried
LEXUS,ES,2007,not_found,,rescue_failed
JEEP,COMPASS,2007,Standard,1.0,carried
TOYOTA,4-RUNNER,2002,not_found,,carried
HYUNDAI,SONATA,2003,No,0.0,carried
JEEP,WRANGLER,2007,Standard,1.0,carried
JEEP,WRANGLER,2008,Standard,1.0,carried
VOLKSWAGEN,JETTA,2010,Standard,1.0,carried
CHEVROLET,VENTURE,2000,No,0.0,carried
KIA,SOUL,2010,Optional,,carried
MERCURY,VILLAGER,2002,No,0.0,carried
NISSAN,ROGUE,2009,Standard,1.0,carried
MITSUBISHI,LANCER,2002,No,0.0,carried
VOLKSWAGEN,JETTA,2009,Standard,1.0,carried
CHEVROLET,MALIBU,2000,No,0.0,carried
ACURA,CL,2001,not_found,,rescue_failed
CHEVROLET,TRAILBLAZER,2007,Standard,1.0,carried
ISUZU,RODEO,2000,No,0.0,carried
NISSAN,PATHFINDER,2005,Standard,1.0,carried
DODGE,CHARGER,2007,Optional,,carried
DODGE,NITRO,2008,Standard,1.0,carried
HYUNDAI,ELANTRA,2003,Optional,,carried
MERCURY,GRAND MARQUIS,2007,No,0.0,carried
SUBARU,OUTBACK,2010,Standard,1.0,carried
SAAB,9-5,2003,Standard,1.0,carried
INFINITI,FX35,2008,not_found,,carried
LEXUS,GS,2008,not_found,,rescue_failed
HYUNDAI,SONATA,2008,Standard,1.0,carried
JEEP,COMMANDER,2006,Standard,1.0,carried
FORD,FOCUS,2008,No,0.0,carried
CHEVROLET,TRAILBLAZER,2003,No,0.0,carried
CHEVROLET,GEO PRIZM,2000,not_found,,carried
MERCEDES-BENZ,CLK-CLASS,2005,Standard,1.0,carried
LEXUS,ES,2006,not_found,,rescue_failed
CHRYSLER,TOWN AND COUNTRY,2002,not_found,,carried
SUBARU,IMPREZA,2005,No,0.0,carried
VOLVO,S40,2006,Optional,,carried
HONDA,ODYSSEY,2010,Standard,1.0,carried
NISSAN,PATHFINDER,2003,Optional,,carried
HONDA,ODYSSEY,2001,No,0.0,carried
TOYOTA,AVALON,2004,Optional,,carried
VOLVO,XC90,2003,Standard,1.0,carried
CHRYSLER,SEBRING,2009,Optional,,carried
HYUNDAI,SANTA FE,2005,No,0.0,carried
SUBARU,OUTBACK,2009,Standard,1.0,carried
DODGE,INTREPID,2002,No,0.0,carried
CHRYSLER,TOWN AND COUNTRY,2006,not_found,,carried
FORD,EXPLORER SPORT TRAC,2003,No,0.0,carried
CHRYSLER,300C,2010,not_found,,carried
DODGE,INTREPID,2001,No,0.0,carried
FORD,EXPLORER,2001,No,0.0,carried
MERCURY,SABLE,2003,No,0.0,carried
SUZUKI,AERIO,2005,No,0.0,carried
MAZDA,MAZDA6,2009,Standard,1.0,carried
FORD,F-800,2010,not_found,,carried
SUBARU,OUTBACK,2005,Optional,,carried
BUICK,ENCLAVE,2008,Standard,1.0,carried
NISSAN,MURANO,2005,Optional,,carried
CADILLAC,CTS,2004,Optional,,carried
ISUZU,I-290,2008,No,0.0,carried
BMW,328I,2009,not_found,,carried
FORD,TAURUS,2006,No,0.0,carried
GMC,YUKON XL,2001,No,0.0,carried
CHRYSLER,PT CRUISER,2003,No,0.0,carried
DODGE,AVENGER,2009,Optional,,carried
VOLVO,S80,2004,Optional,,carried
ACURA,TL,2005,Standard,1.0,rescued
CADILLAC,CTS,2010,Standard,1.0,carried
FORD,ESCAPE,2010,Standard,1.0,carried
FORD,FIVE HUNDRED,2005,No,0.0,carried
MITSUBISHI,GALANT,2001,No,0.0,carried
VOLKSWAGEN,BEETLE,2004,not_found,,carried
MAZDA,MAZDA6,2005,No,0.0,carried
JEEP,WRANGLER,2005,No,0.0,carried
HONDA,CR-V,2005,Standard,1.0,carried
NISSAN,ALTIMA,2002,No,0.0,carried
LINCOLN,MKS,2009,Standard,1.0,carried
CHRYSLER,TOWN AND COUNTRY,2000,not_found,,carried
FORD,MUSTANG,2003,No,0.0,carried
CHEVROLET,TAHOE,2010,Standard,1.0,carried
TOYOTA,CAMRY SOLARA,2001,No,0.0,carried
HYUNDAI,ACCENT,2010,No,0.0,carried
NISSAN,ALTIMA,2004,Optional,,carried
TOYOTA,SCION TC,2008,No,0.0,carried
CADILLAC,DEVILLE,2003,Optional,,carried
OLDSMOBILE,BRAVADA,2000,No,0.0,carried
MERCURY,GRAND MARQUIS,2010,No,0.0,carried
BUICK,LESABRE,2000,No,0.0,carried
LAND ROVER,RANGE ROVER SPORT,2008,Standard,1.0,carried
CHEVROLET,AVEO,2005,No,0.0,carried
DODGE,CALIBER,2008,Optional,,carried
SATURN,AURA,2007,Standard,1.0,carried
NISSAN,VERSA,2008,No,0.0,carried
NISSAN,QUEST,2007,Optional,,carried
FORD,FOCUS,2000,No,0.0,carried
BUICK,PARK AVENUE,2000,not_found,,carried
CHEVROLET,TRAVERSE,2010,Standard,1.0,carried
CHRYSLER,SEBRING,2000,not_found,,carried
HONDA,CR-V,2010,Standard,1.0,carried
CADILLAC,SRX,2009,Standard,1.0,carried
LINCOLN,MKX,2007,Standard,1.0,carried
MITSUBISHI,GALANT,2003,No,0.0,carried
PONTIAC,VIBE,2004,No,0.0,carried
LINCOLN,NAVIGATOR,2008,Standard,1.0,carried
ISUZU,RODEO,2003,No,0.0,carried
NISSAN,SENTRA,2003,No,0.0,carried
MAZDA,TRIBUTE,2001,No,0.0,carried
BUICK,LACROSSE,2006,Optional,,carried
CHEVROLET,AVEO,2008,No,0.0,carried
NISSAN,SENTRA,2000,not_found,,carried
SUBARU,LEGACY,2003,Optional,,carried
HYUNDAI,XG 350,2002,No,0.0,carried
CADILLAC,SRX,2010,Standard,1.0,carried
FORD,TAURUS,2007,No,0.0,carried
MITSUBISHI,OUTLANDER,2005,No,0.0,carried
ACURA,MDX,2004,Standard,1.0,carried
LEXUS,LS,2009,not_found,,rescue_failed
NISSAN,PATHFINDER,2000,No,0.0,carried
ISUZU,ASCENDER,2007,Standard,1.0,carried
FORD,MUSTANG,2008,No,0.0,carried
JEEP,PATRIOT,2007,Standard,1.0,carried
ACURA,TSX,2010,Standard,1.0,carried
FORD,FOCUS,2006,No,0.0,carried
VOLKSWAGEN,EOS,2008,Standard,1.0,carried
MERCEDES-BENZ,M-CLASS,2001,not_found,,carried
BMW,325I,2006,not_found,,carried
CHEVROLET,MALIBU CLASSIC,2005,No,0.0,carried
MITSUBISHI,OUTLANDER,2004,No,0.0,carried
BMW,328I,2007,not_found,,carried
TOYOTA,AVALON,2006,Optional,,carried
BMW,525I,2005,not_found,,carried
HYUNDAI,SONATA,2004,No,0.0,carried
SATURN,AURA,2008,Optional,,carried
CHEVROLET,COBALT,2005,No,0.0,carried
NISSAN,ARMADA,2005,Standard,1.0,carried
JEEP,LIBERTY,2009,Standard,1.0,carried
ACURA,RL,2000,No,0.0,rescued
VOLKSWAGEN,PASSAT,2008,Standard,1.0,carried
MERCEDES-BENZ,E-CLASS,2008,Standard,1.0,carried
NISSAN,XTERRA,2001,No,0.0,carried
PONTIAC,AZTEK,2001,No,0.0,carried
AUDI,A4,2006,Standard,1.0,rescued
FORD,FUSION,2006,No,0.0,carried
HYUNDAI,SONATA,2001,No,0.0,carried
MAZDA,626,2001,No,0.0,carried
GMC,ENVOY,2002,No,0.0,carried
CHEVROLET,EQUINOX,2008,Standard,1.0,carried
BUICK,CENTURY,2005,No,0.0,carried
DODGE,NEON,2002,No,0.0,carried
BUICK,RENDEZVOUS,2005,No,0.0,carried
HONDA,PILOT,2007,Standard,1.0,carried
PONTIAC,VIBE,2010,Standard,1.0,carried
ACURA,TSX,2004,Standard,1.0,carried
FORD,MUSTANG,2000,No,0.0,carried
ACURA,MDX,2006,Standard,1.0,carried
HONDA,PASSPORT,2002,No,0.0,carried
HYUNDAI,SONATA,2010,Standard,1.0,carried
DODGE,CHARGER,2008,Optional,,carried
KIA,OPTIMA,2009,Standard,1.0,carried
BMW,530I,2002,not_found,,carried
CHRYSLER,300C,2006,not_found,,carried
TOYOTA,CAMRY SOLARA,2005,Optional,,carried
CHRYSLER,SEBRING,2005,No,0.0,carried
CHEVROLET,BLAZER,2002,No,0.0,carried
DODGE,JOURNEY,2009,Standard,1.0,carried
MERCEDES-BENZ,C-CLASS,2008,Standard,1.0,carried
MERCEDES-BENZ,S-CLASS,2010,Standard,1.0,carried
FORD,EDGE,2008,Standard,1.0,carried
CHEVROLET,CAVALIER,2005,No,0.0,carried
PONTIAC,SUNFIRE,2000,No,0.0,carried
CHRYSLER,VOYAGER,2001,No,0.0,carried
CADILLAC,SRX,2004,Standard,1.0,carried
PONTIAC,GRAND PRIX,2001,No,0.0,carried
KIA,RIO,2008,No,0.0,carried
TOYOTA,SEQUOIA,2004,Standard,1.0,carried
FORD,FREESTYLE,2006,No,0.0,carried
LINCOLN,MKZ,2007,No,0.0,carried
PONTIAC,MONTANA/ SV6,2001,not_found,,carried
VOLKSWAGEN,RABBIT,2007,Optional,,carried
BUICK,CENTURY,2004,No,0.0,carried
SATURN,L300,2004,not_found,,carried
OLDSMOBILE,INTRIGUE,2001,Optional,,carried
JEEP,GRAND CHEROKEE,2003,No,0.0,carried
FORD,WINDSTAR,2003,Optional,,carried
PLYMOUTH,NEON,2000,No,0.0,carried
FORD,CROWN VICTORIA,2007,No,0.0,carried
VOLKSWAGEN,ROUTAN,2009,Standard,1.0,carried
MITSUBISHI,ECLIPSE,2004,No,0.0,carried
OLDSMOBILE,ALERO,2004,No,0.0,carried
FORD,EXPEDITION,2003,Optional,,carried
LINCOLN,MKX,2009,Standard,1.0,carried
CADILLAC,STS,2007,Standard,1.0,carried
LINCOLN,TOWN CAR,2006,No,0.0,carried
CHEVROLET,TAHOE,2009,Standard,1.0,carried
JEEP,GRAND CHEROKEE,2010,Standard,1.0,carried
BUICK,LACROSSE,2010,Standard,1.0,carried
TOYOTA,4-RUNNER,2010,not_found,,carried
SATURN,SL2,2001,not_found,,carried
BMW,325CI,2004,not_found,,carried
ACURA,CL,2003,Optional,,rescued
LINCOLN,NAVIGATOR,2000,No,0.0,carried
MERCURY,GRAND MARQUIS,2001,No,0.0,carried
BMW,X5,2002,Standard,1.0,rescued
NISSAN,350Z,2008,Optional,,carried
NISSAN,QUEST,2001,No,0.0,carried
FORD,EXPLORER,2000,No,0.0,carried
VOLKSWAGEN,PASSAT,2004,Standard,1.0,carried
DODGE,CARAVAN,2002,No,0.0,carried
MERCURY,GRAND MARQUIS,2008,No,0.0,carried
FORD,CROWN VICTORIA,2003,No,0.0,carried
KIA,AMANTI,2004,Optional,,carried
LEXUS,GS,2000,not_found,,rescue_failed
BMW,550I,2009,not_found,,carried
CHRYSLER,NEON,2001,not_found,,carried
FORD,EXPEDITION MAX,2007,Standard,1.0,carried
MAZDA,MAZDA6,2007,Optional,,carried
NISSAN,MURANO,2009,Standard,1.0,carried
CHEVROLET,AVEO,2010,No,0.0,carried
TOYOTA,SCION XD,2008,Optional,,carried
KIA,OPTIMA,2005,No,0.0,carried
HYUNDAI,AZERA,2006,Standard,1.0,carried
LINCOLN,TOWN CAR,2000,No,0.0,carried
FORD,EXPEDITION,2008,Standard,1.0,carried
MITSUBISHI,GALANT,2004,No,0.0,carried
CADILLAC,SEVILLE,2001,not_found,,carried
CADILLAC,ESCALADE,2004,Standard,1.0,carried
CHRYSLER,SEBRING,2003,No,0.0,carried
ACURA,TSX,2005,Standard,1.0,carried
NISSAN,MURANO,2003,Optional,,carried
AUDI,A4,2010,Standard,1.0,rescued
SUZUKI,XL7,2008,Standard,1.0,carried
LEXUS,RX,2006,not_found,,rescue_failed
VOLKSWAGEN,PASSAT,2009,Standard,1.0,carried
KIA,SORENTO,2005,No,0.0,carried
AUDI,Q7,2007,Standard,1.0,rescued
TOYOTA,PRIUS,2008,Optional,,carried
KIA,SPORTAGE,2005,Standard,1.0,carried
BMW,745I,2003,not_found,,carried
HYUNDAI,ELANTRA,2005,No,0.0,carried
LINCOLN,CONTINENTAL,2002,No,0.0,carried
FORD,CROWN VICTORIA,2008,No,0.0,carried
INFINITI,G20,2002,No,0.0,carried
CHEVROLET,TRAILBLAZER,2008,Standard,1.0,carried
JAGUAR,X-TYPE,2002,Optional,,carried
MERCEDES-BENZ,GLK-CLASS,2010,Standard,1.0,carried
MASERATI,GRANTURISMO,2008,not_found,,carried
MERCEDES-BENZ,SL-CLASS,2003,Standard,1.0,carried
AUDI,TT,2001,No,0.0,rescued
CHRYSLER,300,2005,Optional,,carried
MITSUBISHI,ECLIPSE,2002,No,0.0,carried
LEXUS,LS,2003,not_found,,rescue_failed
CHRYSLER,CROSSFIRE,2004,Standard,1.0,carried
GMC,SAFARI,2004,No,0.0,carried
MAZDA,CX-9,2008,Standard,1.0,carried
HYUNDAI,TIBURON,2006,Optional,,carried
TOYOTA,CELICA,2001,No,0.0,carried
CADILLAC,SRX,2007,Standard,1.0,carried
KIA,SPORTAGE,2000,not_found,,carried
SATURN,L300,2005,not_found,,carried
MERCEDES-BENZ,C-CLASS,2004,Standard,1.0,carried
NISSAN,XTERRA,2000,No,0.0,carried
LEXUS,IS,2006,not_found,,rescue_failed
INFINITI,I35,2002,Optional,,carried
LEXUS,IS,2010,Standard,1.0,rescued
MAZDA,MX-5,2010,not_found,,carried
ACURA,TL,2000,not_found,,rescue_failed
SUBARU,LEGACY,2006,No,0.0,carried
FORD,FREESTYLE,2007,No,0.0,carried
SUZUKI,KIZASHI,2010,Standard,1.0,carried
KIA,OPTIMA,2006,Optional,,carried
MAZDA,MAZDA6,2006,No,0.0,carried
VOLVO,XC70,2004,Optional,,carried
BMW,325I,2004,not_found,,carried
GMC,YUKON,2002,No,0.0,carried
KIA,SPECTRA,2001,not_found,,carried
MERCURY,MOUNTAINEER,2007,Standard,1.0,carried
CHEVROLET,ASTRO VAN,2003,No,0.0,carried
TOYOTA,CELICA,2002,No,0.0,carried
CADILLAC,SEVILLE,2002,Standard,1.0,carried
TOYOTA,HIGHLANDER,2004,Standard,1.0,carried
MERCEDES-BENZ,C-CLASS,2005,Standard,1.0,carried
CHEVROLET,VENTURE,2002,No,0.0,carried
CHEVROLET,UPLANDER,2005,Optional,,carried
MINI,COOPER CONVERTIBLE,2008,Optional,,carried
TOYOTA,CELICA,2005,No,0.0,carried
CADILLAC,SRX,2005,Standard,1.0,carried
BMW,545I,2005,not_found,,carried
CHEVROLET,UPLANDER,2007,Optional,,carried
SUZUKI,ESTEEM,2002,No,0.0,carried
CHRYSLER,SEBRING,2008,Optional,,carried
MITSUBISHI,ENDEAVOR,2008,Standard,1.0,carried
HUMMER,H3,2008,Standard,1.0,rescued
TOYOTA,YARIS,2009,No,0.0,carried
CHEVROLET,HHR,2007,No,0.0,carried
SATURN,VUE,2005,No,0.0,carried
MAZDA,MAZDA5,2010,Standard,1.0,carried
MERCEDES-BENZ,C-CLASS,2007,Standard,1.0,carried
INFINITI,G35,2008,Standard,1.0,carried
OLDSMOBILE,AURORA,2002,Optional,,carried
JEEP,LIBERTY,2008,Standard,1.0,carried
TOYOTA,HIGHLANDER,2010,Standard,1.0,carried
VOLKSWAGEN,BEETLE,2005,not_found,,carried
PONTIAC,G8,2009,Standard,1.0,rescued
BMW,535I,2009,not_found,,carried
BMW,M3,2010,not_found,,rescue_failed
BMW,335I,2007,not_found,,carried
INFINITI,G35,2003,Standard,1.0,carried
CHEVROLET,VENTURE,2003,No,0.0,carried
KIA,RIO,2010,No,0.0,carried
SUZUKI,XL7,2005,not_found,,carried
TOYOTA,PRIUS,2005,Optional,,carried
HONDA,ODYSSEY,2000,No,0.0,carried
BMW,525I,2004,not_found,,carried
INFINITI,G37,2010,Standard,1.0,carried
CHEVROLET,TAHOE,2001,No,0.0,carried
TOYOTA,4-RUNNER,2000,not_found,,carried
VOLKSWAGEN,GOLF,2010,Standard,1.0,carried
TOYOTA,CAMRY SOLARA,2000,No,0.0,carried
TOYOTA,COROLLA MATRIX,2009,Optional,,carried
HONDA,ELEMENT,2008,Standard,1.0,carried
HYUNDAI,ACCENT,2006,No,0.0,carried
VOLVO,S40,2004,No,0.0,carried
BMW,325I,2005,not_found,,carried
VOLVO,V70,2004,Optional,,carried
HYUNDAI,ELANTRA,2010,Optional,,carried
TOYOTA,ECHO,2003,No,0.0,carried
TOYOTA,COROLLA MATRIX,2006,Optional,,carried
PONTIAC,TORRENT,2006,No,0.0,carried
HONDA,FIT,2008,No,0.0,carried
TOYOTA,CAMRY SOLARA,2004,Optional,,carried
MERCEDES-BENZ,S-CLASS,2009,Standard,1.0,carried
HYUNDAI,SANTA FE,2010,Standard,1.0,carried
CHEVROLET,TRACKER,2001,No,0.0,carried
CHEVROLET,SUBURBAN,2009,Standard,1.0,carried
SUZUKI,RENO,2007,No,0.0,carried
BMW,328I,2010,not_found,,carried
PONTIAC,MONTANA/ SV6,2000,not_found,,carried
HUMMER,H3,2007,Standard,1.0,rescued
HYUNDAI,GENESIS,2009,Standard,1.0,carried
PONTIAC,GRAND PRIX,2002,No,0.0,carried
VOLVO,S40,2000,not_found,,carried
HYUNDAI,XG 350,2004,No,0.0,carried
ACURA,TL,2004,Standard,1.0,rescued
MERCURY,MARINER,2006,No,0.0,carried
KIA,SORENTO,2003,Optional,,carried
MERCEDES-BENZ,C-CLASS,2002,Standard,1.0,carried
ACURA,RSX,2002,No,0.0,carried
TOYOTA,COROLLA MATRIX,2005,Optional,,carried
TOYOTA,4-RUNNER,2001,not_found,,carried
INFINITI,G35,2006,Standard,1.0,carried
ACURA,TL,2010,Standard,1.0,rescued
KIA,RIO,2003,No,0.0,carried
MERCEDES-BENZ,E-CLASS,2000,not_found,,carried
TOYOTA,HIGHLANDER,2003,Optional,,carried
BMW,330CIC,2005,not_found,,carried
NISSAN,SENTRA,2009,No,0.0,carried
LEXUS,GS,2001,not_found,,rescue_failed
MAZDA,MAZDA5,2008,No,0.0,carried
DODGE,CARAVAN,2004,No,0.0,carried
TOYOTA,CELICA,2000,not_found,,carried
CADILLAC,SEVILLE,2000,not_found,,carried
CHRYSLER,SEBRING,2006,No,0.0,carried
MERCURY,SABLE,2004,No,0.0,carried
MAZDA,MPV,2003,No,0.0,carried
MERCURY,MARINER,2005,No,0.0,carried
HUMMER,H2,2008,not_found,,rescue_failed
SUZUKI,GRAND VITARA,2009,Standard,1.0,carried
PONTIAC,GTO,2004,No,0.0,carried
CHRYSLER,PT CRUISER,2001,No,0.0,carried
MITSUBISHI,LANCER,2003,No,0.0,carried
CHEVROLET,ASTRO VAN,2002,No,0.0,carried
TOYOTA,RAV4,2006,Standard,1.0,carried
HONDA,ODYSSEY,2009,Standard,1.0,carried
BMW,750I,2008,not_found,,carried
SATURN,VUE,2003,No,0.0,carried
HUMMER,H2,2004,not_found,,rescue_failed
MAZDA,MPV,2001,No,0.0,carried
SATURN,LW2,2000,not_found,,carried
BMW,328I,2008,not_found,,carried
BUICK,LUCERNE,2010,Optional,,carried
LAND ROVER,RANGE ROVER,2006,Standard,1.0,carried
LINCOLN,MKZ,2008,No,0.0,carried
LEXUS,GX,2005,not_found,,rescue_failed
BUICK,CENTURY,2000,No,0.0,carried
CHEVROLET,MONTE CARLO,2003,not_found,,carried
FORD,EXPEDITION MAX,2008,Standard,1.0,carried
CHRYSLER,VOYAGER,2002,No,0.0,carried
AUDI,A6,2002,Standard,1.0,rescued
MERCEDES-BENZ,SLK-CLASS,2005,Standard,1.0,carried
MITSUBISHI,GALANT,2006,No,0.0,carried
CHEVROLET,BLAZER,2001,No,0.0,carried
TOYOTA,RAV4,2009,Standard,1.0,carried
INFINITI,I35,2004,Optional,,carried
CHRYSLER,PT CRUISER,2004,No,0.0,carried
HYUNDAI,SANTA FE,2001,not_found,,carried
NISSAN,PATHFINDER,2001,No,0.0,carried
SATURN,ION,2003,No,0.0,carried
VOLVO,S60,2005,Optional,,carried
FORD,FLEX,2010,Standard,1.0,carried
MITSUBISHI,LANCER,2004,No,0.0,carried
MAZDA,MX-5,2001,not_found,,carried
HUMMER,H2,2006,No,0.0,rescued
SUZUKI,FORENZA,2007,No,0.0,carried
MERCURY,MONTEGO,2006,No,0.0,carried
CHEVROLET,CORVETTE,2000,not_found,,carried
PONTIAC,VIBE,2008,Optional,,carried
MAZDA,626,2002,No,0.0,carried
MERCURY,SABLE,2000,No,0.0,carried
JEEP,WRANGLER,2006,No,0.0,carried
VOLVO,S40,2007,Standard,1.0,carried
HONDA,PILOT,2010,Standard,1.0,carried
ACURA,TL,2003,Optional,,rescued
LAND ROVER,RANGE ROVER,2003,Standard,1.0,carried
DODGE,MAGNUM,2005,Standard,1.0,carried
VOLKSWAGEN,BEETLE,2006,not_found,,carried
MERCURY,MARINER,2009,Standard,1.0,carried
MERCEDES-BENZ,CLS-CLASS,2008,Standard,1.0,carried
NISSAN,QUEST,2005,Optional,,carried
VOLKSWAGEN,PASSAT,2002,ambiguous,,carried
TOYOTA,PRIUS,2004,Optional,,carried
NISSAN,MAXIMA,2010,Standard,1.0,carried
